,geometry,site_name,water_pixels_orig,inundated_vegetation_orig,total_pixels_orig,water_pixels_crop,inundated_vegetation_crop,total_pixels_crop,percent_water_orig,percent_inundated_vegetation_orig,percent_water_crop,percent_inundated_vegetation_crop,percent_total_water_orig,percent_total_water_crop
53,"POLYGON ((78.2472240793505 37.70490754052487, 78.24888833752999 37.65989271358895, 78.19226717314055 37.65855753861602, 78.19056877126799 37.70357020914123, 78.2472240793505 37.70490754052487))",1_45,1305.0,0.0,1344384,713.0,0.0,250000,0.09707047986289631,0.0,0.2852,0.0,0.09707047986289631,0.2852
54,"POLYGON ((-88.67064119605247 36.994748304818955, -88.66965651872995 36.94969514482773, -88.72578941743501 36.94889245882903, -88.72680715960975 36.993944312328914, -88.67064119605247 36.994748304818955))",3_36,6321.0,0.0,1248426,1652.0,0.0,250000,0.5063175550653383,0.0,0.6608,0.0,0.5063175550653383,0.6608
55,"POLYGON ((97.88251804760566 36.85981557595616, 97.88317352658662 36.81475078090537, 97.82712576267666 36.81421113369444, 97.82643740654173 36.85927504894031, 97.88251804760566 36.85981557595616))",2_43,0.0,0.0,1250886,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
56,"POLYGON ((68.7796192537822 36.2751893107516, 68.77974580648842 36.23011182938771, 68.72410739511795 36.229996476239215, 68.72394887482228 36.27507376829861, 68.7796192537822 36.2751893107516))",1_44,15760.0,0.0,1248800,6448.0,0.0,250000,1.262011531069827,0.0,2.5791999999999997,0.0,1.262011531069827,2.5791999999999997
57,"POLYGON ((26.49189651794149 36.14016201696417, 26.49218685429208 36.095084958974724, 26.436645734867007 36.09483671399355, 26.436323647412276 36.13991336397734, 26.49189651794149 36.14016201696417))",4_16,792307.0,0.0,1249888,250000.0,0.0,250000,63.39023976548299,0.0,100.0,0.0,63.39023976548299,100.0
58,"POLYGON ((-104.51460873457057 35.60064642098618, -104.51488065520033 35.555565151813816, -104.57004796727057 35.55577449372372, -104.56980696672431 35.60085610917494, -104.51460873457057 35.60064642098618))",1_41,0.0,0.0,1248786,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
59,"POLYGON ((-83.30146243679152 35.547103235216994, -83.30017600299348 35.50205639601922, -83.35526240393548 35.500993043900756, -83.35657957756234 35.54603812440806, -83.30146243679152 35.547103235216994))",1_50,29.0,0.0,1250340,29.0,0.0,250000,0.002319369131596206,0.0,0.0116,0.0,0.002319369131596206,0.0116
60,"POLYGON ((115.93496284987125 35.240413021682784, 115.93555158877702 35.195335244922234, 115.88063738884924 35.194840055590056, 115.88001829237815 35.239917009671466, 115.93496284987125 35.240413021682784))",1_2,39.0,0.0,1248650,39.0,0.0,250000,0.0031233732431025507,0.0,0.0156,0.0,0.0031233732431025507,0.0156
61,"POLYGON ((36.47709550379431 33.56578068914167, 36.47840513745883 33.520726577177484, 36.4246162845197 33.519619195843184, 36.42327878925398 33.56467142624032, 36.47709550379431 33.56578068914167))",1_6,56.0,0.0,1251377,26.0,0.0,250000,0.004475070262598722,0.0,0.0104,0.0,0.004475070262598722,0.0104
62,"POLYGON ((-95.87499146198162 33.03385294909127, -95.8735290519283 32.98880806730333, -95.92697726070361 32.98756556809467, -95.92846677795646 33.03260832189489, -95.87499146198162 33.03385294909127))",3_40,16162.0,0.0,1251261,4591.0,0.0,250000,1.2916569764421653,0.0,1.8363999999999998,0.0,1.2916569764421653,1.8363999999999998
63,"POLYGON ((119.68137368300495 30.177851939680682, 119.68015374264145 30.132779518363918, 119.62829854876459 30.133828497480053, 119.62949495287509 30.17890281068771, 119.68137368300495 30.177851939680682))",3_15,3581.0,0.0,1252728,1186.0,0.0,250000,0.28585614754360084,0.0,0.4744,0.0,0.28585614754360084,0.4744
64,"POLYGON ((-114.025324115567 29.121860274565616, -114.02662064906845 29.076792119013522, -114.0779254415605 29.077919995379936, -114.07665120099446 29.12299023051991, -114.025324115567 29.121860274565616))",1_38,0.0,0.0,1378638,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
65,"POLYGON ((107.84355927830813 21.323051620478363, 107.842690668827 21.277930870858142, 107.79454950185504 21.278737069669447, 107.79540344848539 21.323859691607566, 107.84355927830813 21.323051620478363))",4_12,1086122.0,0.0,1254175,249860.0,0.0,250000,86.60051428229713,0.0,99.944,0.0,86.60051428229713,99.944
